Freq /Hz, Zr , Zi ; Name: 50_-5000
3.169343E+3;2.442890E+3;-7.804630E+2
2.932960E+3;2.481430E+3;-7.466730E+2
2.714207E+3;2.517590E+3;-7.137990E+2
2.511769E+3;2.551020E+3;-6.810430E+2
2.324431E+3;2.582520E+3;-6.493040E+2
2.151064E+3;2.611260E+3;-6.172280E+2
1.990629E+3;2.637370E+3;-5.871410E+2
1.842159E+3;2.661470E+3;-5.575760E+2
1.704763E+3;2.684230E+3;-5.281730E+2
1.577614E+3;2.705010E+3;-4.990760E+2
1.459949E+3;2.724120E+3;-4.722910E+2
1.351059E+3;2.741670E+3;-4.468210E+2
1.250291E+3;2.756530E+3;-4.215570E+2
1.157039E+3;2.771930E+3;-3.988690E+2
1.070742E+3;2.783560E+3;-3.761550E+2
9.908816E+2;2.796300E+3;-3.530360E+2
9.169773E+2;2.806300E+3;-3.327860E+2
8.485852E+2;2.818840E+3;-3.140630E+2
7.852940E+2;2.827910E+3;-2.951370E+2
7.267233E+2;2.835150E+3;-2.781040E+2
6.725211E+2;2.842240E+3;-2.621550E+2
6.223616E+2;2.849320E+3;-2.448590E+2
5.759431E+2;2.857570E+3;-2.320520E+2
5.329868E+2;2.860100E+3;-2.167050E+2
4.932343E+2;2.868260E+3;-2.022910E+2
4.564467E+2;2.871130E+3;-1.918680E+2
4.224029E+2;2.876480E+3;-1.793040E+2
3.908983E+2;2.880690E+3;-1.679680E+2
3.617434E+2;2.883280E+3;-1.574740E+2
3.347630E+2;2.886950E+3;-1.477890E+2
3.097949E+2;2.891660E+3;-1.402730E+2
2.866891E+2;2.896000E+3;-1.322420E+2
2.653065E+2;2.897030E+3;-1.218220E+2
2.455188E+2;2.897270E+3;-1.141150E+2
2.272069E+2;2.901890E+3;-1.064050E+2
2.102609E+2;2.905070E+3;-1.028430E+2
1.945787E+2;2.905530E+3;-9.423970E+1
1.800662E+2;2.908470E+3;-8.782970E+1
1.666360E+2;2.909230E+3;-8.391150E+1
1.542076E+2;2.906960E+3;-7.838950E+1
1.427061E+2;2.911670E+3;-7.345520E+1
1.320625E+2;2.911440E+3;-6.980470E+1
1.222127E+2;2.917330E+3;-6.243190E+1
1.130975E+2;2.917660E+3;-5.922610E+1
1.046622E+2;2.916640E+3;-5.807400E+1
9.685606E+1;2.915130E+3;-5.032530E+1
